;Chuva(mm)
1999-02-28;6.972682648940059
1999-03-31;5.454724741581645
1999-04-30;3.2679480372687824
1999-05-31;3.613937738642379
1999-06-30;4.419131569793602
1999-07-31;3.1413806523913927
1999-08-31;0.0
1999-09-30;4.252478369923492
1999-10-31;4.010389657058401
1999-11-30;4.235823584254893
1999-12-31;4.647769385299165
2000-01-31;7.291752742748064
2000-02-29;6.723950813597926
2000-03-31;5.752928564893664
2000-04-30;3.6840314986403864
2000-05-31;2.1326712355058866
2000-06-30;2.139974961130159
2000-07-31;4.198336453808407
2000-08-31;3.0566994186898366
2000-09-30;4.936531081573048
2000-10-31;4.725170528451599
2000-11-30;6.854124001832624
2000-12-31;6.549911620119374
2001-01-31;6.566187647754576
2001-02-28;6.054139643456959
2001-03-31;6.224805238983285
2001-04-30;3.0616858866136534
2001-05-31;4.396829672158179
2001-06-30;3.1413806523913927
2001-07-31;3.164849680939784
2001-08-31;2.996291714390912
2001-09-30;4.34977318586619
2001-10-31;5.973027073388799
2001-11-30;5.662896377056372
2001-12-31;6.641096494780701
2002-01-31;6.69878941519946
2002-02-28;5.578488904510198
2002-03-31;7.079368792610626
2002-04-30;4.56770064379612
2002-05-31;5.16265152269613
2002-06-30;1.3200061217959123
2002-07-31;2.8438669798515654
2002-08-31;3.4621777863135192
2002-09-30;4.379519139887889
2002-10-31;5.240269201250447
2002-11-30;5.861649176477774
2002-12-31;6.412637788724431
2003-01-31;7.625445642680976
2003-02-28;5.210972884288227
2003-03-31;6.301284696434622
2003-04-30;3.5700184909607784
2003-05-31;3.320170311096694
2003-06-30;2.7457233802771586
2003-07-31;2.9043928667818517
2003-08-31;3.022059615754738
2003-09-30;3.4621777863135192
2003-10-31;5.611498482843509
2003-11-30;5.104468722001463
2003-12-31;4.4797443519084945
2004-01-31;5.736768568068488
2004-02-29;6.817744887825653
2004-03-31;5.029162907599678
2004-04-30;5.43448438943341
2004-05-31;4.2616749348344225
2004-06-30;4.228379239238935
2004-07-31;4.726663001870005
2004-08-31;1.300591446851387
2004-09-30;2.3986103065798416
2004-10-31;4.9406311923296125
2004-11-30;5.995366793524247
2004-12-31;5.65665282582291
2005-01-31;7.232339098034724
2005-02-28;4.5772665369592245
2005-03-31;5.868432377146609
2005-04-30;5.158896865718822
2005-05-31;5.615729586035889
2005-06-30;3.2741786491833174
2005-07-31;3.414242447187964
2005-08-31;2.2571787177370006
2005-09-30;5.316832682300531
2005-10-31;5.801862263673101
2005-11-30;4.58837645077582
2005-12-31;5.193730115728269
2006-01-31;6.134906916134051
2006-02-28;6.068655843833705
2006-03-31;7.416253536443029
