;Previsão ARIMA(2, 1, 2)
2023-01-31;155.45222403755906
2023-02-28;127.95264782764686
2023-03-31;121.95950515347985
2023-04-30;112.36701582657655
2023-05-31;114.00043636508885
2023-06-30;108.51312808180094
2023-07-31;111.93932471557439
2023-08-31;107.53887541549419
2023-09-30;111.37573046645421
2023-10-31;107.30803480589528
2023-11-30;111.2028050247674
2023-12-31;107.27148008083806
